"RT","Avai","Thr","Late","Place"
"829.7","9.4","7.8","475","3"
"654.41","87","3.7","947","1"
"699.7","34.2","18.5","46","3"
"3205.2","29.3","30.2","3","0"
"2576.6","68.6","17.3","839","2"
"464.62","40","3.6","403","3"
"1799.9","53.3","23.2","3","0"
"839.5","69.3","10.2","915","2"
"3308.2","55.6","39.7","2","0"
"1110.6","65.7","23","554","2"
"2099","32.4","0.9","408","3"
"4471.4","10.9","0.8","923","1"
"3127.1","41.6","32.6","624","1"
"2511","98","6","947","2"
"1369.1","13.4","23.7","755","2"
"976.7","51.8","16.9","221","3"
"342.2","50.3","35.4","758","1"
"1571.5","82.9","12.7","502","1"
"4826.3","10.6","15.6","933","1"
"3018.4","67.6","38.6","876","2"
"168","26","7.7","2","0"
"1825.8","35.9","13.6","889","2"
"4062.5","31.8","21.8","583","1"
"691.1","52.1","6.8","202","3"
"704","83","15.5","2","0"
"4839.4","72.6","16.1","4","0"
"781.3","46.5","22.4","896","2"
"767.3","47.2","38.5","502","1"
"2727.3","36.3","27.5","678","3"
"4365.8","57.2","34","154","3"
"168.17","93","14.2","624","3"
"2545.3","59.2","29.4","769","2"
"479.2","31.3","24.7","709","1"
"783","63","4.6","9","0"
"1096.1","79.8","23.1","285","3"
"182.25","67","9.7","963","2"
"43.2","20.9","42.7","797","2"
"5031.3","53.6","27.6","8","0"
"143.67","93","11.2","24","3"
"3874.7","44","11.3","482","3"
"121.15","88","6.4","717","2"
"2772.1","51.1","27.1","600","2"
"3532.8","23","16.7","3","0"
"4353.9","91.2","21","535","3"
"359.13","85","1.1","108","3"
"308.45","87","9.3","589","1"
"2795.4","87.3","26.3","863","1"
"56.17","97","11.3","6","0"
"3402","58.1","18.5","9","0"
"1287.6","9.1","1.8","272","3"
"3177.8","44.2","20.3","115","3"
"1045.2","92.3","24.1","224","3"
"142.5","93","4.4","27","3"
"2120.1","64.6","35.8","342","3"
"4317.1","59.3","30","911","2"
"1991.3","15.3","0.8","913","1"
"2849.8","21.4","7.1","924","1"
"36.2","55.4","18.1","6","0"
"1347.91","88","2.6","505","1"
"390.2","91","11","966","1"
"322","89","23.2","728","1"
"159.5","98","2.8","769","2"
"4382.9","92.3","5.5","613","2"
"3061.9","25.3","0.5","345","3"
"2752.2","89","17.4","848","1"
"854.1","54.4","29","42","3"
"1310.6","22.8","2.5","902","2"
"1839.1","37.8","29","4","0"
"3192.8","65.1","15.7","9","0"
"3402.2","43.1","16.4","2","0"
"1822.1","72.5","1.7","5","0"
"2970.9","77.8","28.9","587","2"
"4820.3","94.2","1.8","367","3"
"68","97","5.1","884","1"
"1598.2","9.6","34.9","725","1"
"259","97","1.2","317","3"
"131.15","90","14","9","0"
"1380.8","70.3","5.2","7","0"
"3990.4","71.1","23.8","282","3"
"1622.6","86.8","27.9","350","3"
"141","92","1.4","500","3"
"3193.3","17.3","35.4","656","1"
"219","94","1.2","833","1"
"412.5","72","5.9","125","3"
"2535.4","47.4","16.7","4","0"
"38","88.1","26","720","2"
"134.75","96","7.5","117","3"
"2474","30.2","37.9","497","3"
"196","83","32.8","9","0"
"2349.6","91","1.7","526","3"
"2474.7","22.8","0.5","527","1"
"2569.9","62.8","8.4","621","1"
"82","72","13.8","3","0"
"158.7","67.6","11.6","370","3"
"1357.7","16.8","37.1","20","3"
"2483.2","64.8","28.3","824","2"
"1387.5","24.9","13.4","653","1"
"627","83","12.8","517","2"
"2436.2","53.8","12.2","9","0"
"196","69","9.7","867","1"
"2477.7","67","42.2","6","0"
"582","72","8.3","964","2"
"3727","22.6","22","523","3"
"4480.8","52","1","314","3"
"242.5","62","6.1","155","3"
"2648.9","26.8","13.4","884","2"
"223.83","92","10.8","521","1"
"1946.4","39","38.5","642","3"
"2026.5","16.6","37.7","4","0"
"2252","83","1.3","745","2"
"3985.6","36.2","1.1","724","1"
"4071.3","82.6","31","737","2"
"2310.4","17.5","25.8","4","0"
"4323.3","50.8","29.9","9","0"
"90","83","21.8","904","1"
"4326.2","39.1","8.9","796","2"
"2840.9","41.4","27.4","691","3"
"196","88","9.8","7","0"
"234","87","1.1","908","1"
"973.4","24.6","37.8","151","3"
"2213.6","41.5","3.2","3","0"
"382.5","75","33.6","5","0"
"3318.7","77.3","32.8","399","3"
"156.29","93","0.8","147","3"
"3303.3","68","16.2","744","1"
"3545","7.5","32.3","2","0"
"3026","44.3","25.5","5","0"
"2337.2","53.8","3.9","682","2"
"210.79","89","11.5","807","2"
"2731.3","19.2","0.3","930","1"
"2757","13.6","23","537","1"
"1301.3","53.5","28.5","1","0"
"3041.4","35.8","33.8","536","3"
"3959","33.4","33.3","9","0"
"2483.1","35.5","2.3","234","3"
"262.5","89","5.3","599","3"
"388.2","69.7","29.6","316","3"
"3150.3","81.1","24.6","380","3"
"2802.8","86.8","32.7","7","0"
"2382.1","94.8","9.3","508","2"
"4791.7","40.6","31.1","8","0"
"2882.2","52.4","30.7","85","3"
"1448.5","61.2","16.9","671","2"
"977.8","28.8","16.3","898","1"
"356.67","66","3","825","1"
"241.8","94","13.6","648","3"
"149.5","94","13.3","514","1"
"127.5","98","12.4","742","2"
"98.67","91","18.6","8","0"
"3646.3","53","22","904","2"
"462.5","78","2.7","814","2"
"3737.8","21.6","39.7","9","0"
"4904.1","66.8","19.6","104","3"
"2326.29","64","1.9","733","1"
"1205.8","48.5","27.9","798","1"
"3923.7","49.2","31.8","593","1"
"3196.3","73.1","26.2","757","2"
"111","72","15","934","2"
"3580.1","18.3","24.2","5","0"
"348","100","2.4","825","2"
"2666.8","54.5","10.7","789","1"
"125.5","63.8","43.3","743","2"
"1572.8","78.6","18.7","863","1"
"152.56","94","17.7","9","0"
"287","90","8.1","728","2"
"757.8","29.7","5.3","41","3"
"213","98.5","15.6","528","2"
"1548.6","34.6","9.9","798","1"
"2732.6","71.3","13.7","654","1"
"304.4","18.1","16.5","401","3"
"2004.7","43.3","7.4","2","0"
"4834.3","30.1","31.8","9","0"
"3771.7","39.4","19.9","967","1"
"477","94","14.2","839","2"
"357.33","97","0.9","7","0"
"2357.3","35.1","9","3","0"
"3899.9","85.4","20.9","3","0"
"692.3","27.2","25.7","158","3"
"386.4","100","3.6","1","0"
"2253.8","53.1","4.4","1","0"
"1285.2","12","8.8","397","3"
"4957.7","67.6","8","74","3"
"582.85","56","4.4","935","1"
"770.2","105.2","9.5","724","1"
"3084.5","15.4","11.9","309","3"
"3345.7","65.4","33.9","846","1"
"220.75","56","6.3","57","3"
"2651.7","68.9","1.4","42","3"
"331.43","85","1.1","637","2"
"1020.5","33.1","32","522","2"
"104","92","17.1","963","1"
"1390.3","54.3","17.5","9","0"
"173","46","3.8","576","3"
"2897.2","51.9","16.4","610","2"
"2988.4","21.4","18","757","2"
"2077.8","17.9","5.9","587","1"
"1444.7","35.2","22.6","270","3"
"2016.3","60.1","4.9","866","2"
"865","8.9","10.3","468","3"
"756.8","76.5","21.3","538","1"
"3639.6","33.6","12.1","601","2"
"2271.7","59.5","25.2","168","3"
"188.38","69","9.9","753","1"
"4220.2","76.1","6.1","201","3"
"2907.6","16.8","30.5","785","2"
"1636.7","15.7","32.2","7","0"
"1706.3","34.4","12.7","679","3"
"3240.2","83.4","12.2","937","1"
"2836.7","88.8","33.3","660","2"
"3159.3","61.7","11.1","961","1"
"303","83","26.9","241","3"
"2623.2","37.4","2.6","953","2"
"283.3","28.7","37.6","880","2"
"319","35.2","13.1","4","0"
"1039.7","67.1","13.6","403","3"
"1624.9","89.2","24.2","695","2"
"523.75","94","6.9","5","0"
"1774.2","64.5","15.2","511","2"
"3876.3","35.8","9.7","567","3"
"4291","18.9","27.2","97","3"
"3026.3","68.1","26.7","464","3"
"677","83","12.1","1","0"
"320.4","89","12.3","845","2"
"442.2","72.7","29.8","2","0"
"1502","20.9","13.9","892","2"
"2548.8","12.1","5.4","219","3"
"2332.1","65.5","9.6","564","1"
"2613.9","9","8","677","1"
"140.64","94","13.1","583","1"
"150.2","72.5","30.4","615","1"
"92.5","78","11.9","522","3"
"667.11","38","2.1","797","2"
"1989.4","32","15.4","5","0"
"1992.9","79.1","28","1","0"
"1935.8","34.3","31.7","813","2"
"2152.2","41.8","13","969","2"
"322.6","45.6","11.7","2","0"
"1560.2","15.3","19.3","6","0"
"3927.7","49.7","5.9","744","1"
"255.4","94","2.3","5","0"
"508.1","30.1","15.4","160","3"
"138.5","100","2","6","0"
"3478.2","71.3","1.6","901","1"
"307.6","44.2","32.7","771","2"
"191","92","9.4","860","1"
"781","35.5","3.7","870","2"
"1244.6","55.2","1.8","450","3"
"1438.3","45.4","24","822","1"
"235.9","61","4","567","2"
"598.3","8.5","15.2","5","0"
"1091.4","50.2","21.1","942","1"
"225.8","97","3.4","564","3"
"3324.7","43.8","7.4","549","3"
"3169.7","28.9","41.3","923","1"
"790.2","91","3.1","938","2"
"499.4","73","25.4","196","3"
"1502.1","53.4","11.5","907","2"
"4821.8","17.4","15.4","225","3"
"4132.3","102.1","32.9","8","0"
"4293.7","76.2","20.6","613","3"
"175.8","29.7","29.7","774","1"
"1165","53.9","14.1","5","0"
"1844.4","82.6","17.4","869","2"
"3692.4","76.1","2.6","603","2"
"314.62","96","5.9","917","1"
"597.5","98","3.7","625","1"
"2749.9","17","25.8","7","0"
"3656.7","43","15.2","718","1"
"914.3","79.4","2.8","730","2"
"2237.4","9.3","24.1","868","2"
"1820.6","74.8","8.2","2","0"
"2485.3","88.4","18.3","976","2"
"3737","97","9.2","803","1"
"161","100","12.5","328","3"
"611","80.9","13.9","2","0"
"3065.4","13.1","18.1","405","3"
"222.47","97","8.5","667","1"
"659.4","16.7","28.6","2","0"
"2005","47.5","36","3","0"
"261","58.8","38","7","0"
"768.5","34.5","10.7","767","2"
"1015.8","45.7","10.4","552","2"
"3507.2","14.7","29.9","542","3"
"2898","21.7","1.5","9","0"
"5234.6","64.6","4.2","219","3"
"1712","19.7","20.7","523","2"
"284.65","86","3.1","513","1"
"739.3","34.6","36.3","715","1"
"3027.4","28","37.2","762","1"
"2451.6","79.4","22.5","761","1"
"951.3","18.5","5.2","7","0"
"2430","89.9","24.6","945","1"
"271.6","97","11.8","6","0"
"283","71","6.5","135","3"
"2202.6","40.2","13.2","796","1"
"3751.2","20.1","37.7","847","2"
"4869.9","61.5","2.6","803","2"
"3194.4","52.1","28.2","802","2"
"2189","40.4","2.8","996","1"
"3807.7","83","7.9","636","2"
"3383.3","88.2","27.3","4","0"
"1373.3","62.5","6","610","1"
"2728","33","4.7","868","2"
"2252.8","35.9","3.9","424","3"
"960.29","32","3.1","697","1"
"350.71","63","6.1","952","1"
"328.5","46","4.1","310","3"
"1252.1","18.6","30","662","1"
"97.8","12.8","7.9","566","1"
"1224","39.1","33.5","8","0"
"291.25","92","3","972","2"
"173","67","0.5","932","2"
"4651.2","22.8","42.3","509","1"
"838","23.7","7.6","1","0"
"958.5","44.9","7","563","1"
"1939.3","7.4","13.6","612","1"
"2117.8","51.9","2.3","181","3"
"173.3","10.6","37.3","167","3"
"1303","90.4","7.5","669","1"
"1252.4","64.9","0.4","654","1"
"558.3","55.8","26.5","75","3"
"2024.2","16.3","23","708","1"
"2760.3","75.8","0.5","7","0"
"256.43","90","7.1","953","2"
"280.6","91","0.9","775","2"
"56","97","9","782","1"
"3277","49","5.7","572","2"
"2510.6","36.4","24.2","7","0"
"61.42","79","8.9","8","0"
"2196.6","21.4","1.8","9","0"
"2535.3","48.1","7.2","9","0"
"3429.7","73.9","35.6","509","1"
"1097","35.5","13","6","0"
"1329.2","59.3","30.9","922","1"
"4393.9","19.7","30.1","593","2"
"1547.9","21.3","25.6","655","1"
"1137.7","54.6","30.8","688","3"
"683.7","35.5","11.7","788","2"
"79.35","96","19.1","627","1"
"1990.8","73.5","14.6","759","2"
"214.8","91","15.4","94","3"
"2747.7","22.9","25.9","788","1"
"437.8","95","10.4","892","2"
"403.6","12.3","34.3","863","1"
"1091.3","32.6","41.8","324","3"
"1322.8","30.9","29.6","587","2"
"3227.6","68.4","30.7","918","1"
"2526.8","75.7","5.6","215","3"
"3334.9","32.2","6.2","556","2"
"3505.1","39.8","2.5","377","3"
"115","86","8.8","827","1"
"4701.5","40.5","29.3","547","1"
"946.1","48.4","26.6","206","3"
"248.31","12","7.3","761","1"
"1734.8","58","30","795","1"
"1225.2","9.8","26.8","710","2"
"3587.7","20.1","16.9","7","0"
"74.5","92","8.4","202","3"
"2805.5","65.4","40.2","803","1"
"2366.4","70.8","13.7","723","1"
"2757.4","63.5","9.8","389","3"
"1015","83","1.3","241","3"
"2719.7","33.3","45.6","4","0"
"1722.3","38.8","18.5","195","3"
"1003.4","70.5","12.7","581","3"
"3580.6","19.3","14","753","1"
"1610.7","47.7","36.6","1","0"
"4181.7","60.5","22","4","0"
"2322.5","24.4","4.8","8","0"
"178","56","5.2","1","0"
"2528","13.2","0.7","623","2"
"3932","59.1","35.9","974","1"
"3979.7","36.9","12.6","131","3"
"1826.9","41.5","10.8","976","1"
"4713.2","59.7","30.5","932","1"
"214","67","8.5","687","3"
"1098.7","70.5","13.7","955","2"
"126.25","91","12.2","9","0"
"223.2","89","2.2","7","0"
"1809","50.8","15.2","570","1"
"554.5","26.5","17.8","556","1"
"4161","66.2","4","670","3"
"594.2","80.7","22.7","631","2"
"296","74","2.2","705","1"
"1240.6","34.3","1.8","682","3"
"2499.8","13.6","27.1","716","2"
"1681.9","15.6","3.2","868","2"
"1995.6","51","5.1","648","3"
"1172","36.5","3.8","481","3"
"260.6","94","1.8","7","0"
"3168.7","33.2","33.9","9","0"
"4153.8","39.2","10.5","945","2"
"265.19","98","9.7","456","3"
"3653.9","76.3","38.8","8","0"
"138","86","15.4","946","2"
"3632.1","32.2","35.8","760","1"
"2296","63.5","27.1","672","1"
"4481.6","78.4","7.5","6","0"
"3535.6","67.1","29.2","698","1"
"222","73","6.8","4","0"
"96","83","21","156","3"
"2496.5","29.7","27.2","595","2"
"613.7","100","11.1","557","1"
"3610.1","14.4","18.6","7","0"
"2282.1","39.7","2.5","172","3"
"3501.7","85.5","5.6","6","0"
"3696.2","76.4","39.1","5","0"
"1097.1","53.7","22.4","9","0"
"269.38","99","9","7","0"
"243","93","13.7","3","0"
"1682.8","77.3","1.3","366","3"
"363.9","80","38.2","365","3"
"4347","35.4","29.2","2","0"
"2517.1","67.6","31","696","3"
"1881.3","89.4","4.1","8","0"
"3269.5","40.4","19.1","662","2"
"1614.6","51.3","35.8","825","2"
"356.75","56","7.5","621","2"
"1494","47.9","42.5","872","2"
"170.5","29.5","6.6","795","1"
"3918.4","67.7","18.6","737","2"
"3601.3","48","22.3","901","1"
"3495.5","36.7","34.3","156","3"
"4032.4","61.4","22.4","742","2"
"1125.9","35.3","13.4","25","3"
"3827.5","28.6","30.5","31","3"
"2282.5","53.4","40.1","9","0"
"1119.5","46.4","8.8","467","3"
"251.8","94","1.9","608","3"
"3416.7","8","42.4","258","3"
"4689.4","8.3","18.9","799","2"
"1410","83","10.6","353","3"
"1821.2","6.1","15.9","127","3"
"225.75","78","6.5","595","1"
"2596","73.1","14.4","808","1"
"4755.1","60.3","3.1","218","3"
"2115.1","48.4","4","605","3"
"330.2","99","2.4","5","0"
"156.75","78","9","6","0"
"809","65.3","31.6","661","2"
"2755.1","68.6","27.9","731","2"
"96.9","23.7","25.2","513","2"
"664","83","11.4","8","0"
"237.33","63","4.3","4","0"
"3209.3","18","14.2","177","3"
"224","75","14.8","655","2"
"3308.8","65.5","22.6","211","3"
"5055.6","22.8","6.7","579","2"
"1878.7","76.3","2.1","909","2"
"2600.2","47.9","12.6","833","1"
"4273.1","58.8","7.5","534","1"
"3577.7","13.5","13","287","3"
"2578.8","33.8","37.5","703","1"
"2518.8","21.8","33.6","981","2"
"4343.4","74.8","20.9","765","1"
"4488.1","18.9","35.7","661","1"
"2936.7","31","20.7","551","3"
"121.67","99","9.6","822","2"
"483.7","73.2","4.7","881","1"
"125","86","9.4","628","2"
"4526.4","57.3","14.2","621","3"
"1175.7","35.4","22.9","628","1"
"110.1","57.8","33.6","821","1"
"283","83","20.3","788","2"
"3600.8","39.6","19.8","7","0"
"4221.5","29.6","24","517","2"
"243.91","85","7.1","953","2"
"4397.6","17.5","26.9","732","1"
"4678.5","64.5","24.2","897","2"
"131.36","90","2.3","580","3"
"3312.3","27.3","16.7","6","0"
"1884.6","47.3","43.2","709","2"
"3231.4","77.5","35.1","150","3"
"94.67","98","4.7","2","0"
"2335","43.3","29.5","253","3"
"2439","54.2","2.4","803","1"
"214","86","17.8","915","1"
"3612.8","46.1","15.2","940","2"
"310.7","97.4","23.6","988","2"
"2388.7","77.3","23.1","974","2"
"2460.2","28.6","28.8","3","0"
"2803.7","72.7","2.2","69","3"
"140.5","97","18","170","3"
"3221.5","90.4","12","777","2"
"2841.6","45.4","24.1","780","2"
"1306","73","1.2","717","1"
"747.2","83.5","5.6","59","3"
"1640.2","20.9","12.9","5","0"
"1851.2","70.3","12.1","734","2"
"2684.6","18.7","28.2","280","3"
"3857.5","56","8.3","931","2"
"1840","90","8.7","944","2"
"2433","16.2","14","305","3"
"1570.1","27.1","7.1","842","2"
"540.67","75","7.3","190","3"
"4644.2","41.4","16.1","5","0"
"4129.5","26.2","40.7","578","1"
"1525","55.6","7.6","767","1"
"1660.5","64.3","9.7","6","0"
"3423.5","58.7","6.5","207","3"
"114.67","93","10.8","535","3"
"4382.1","56.6","3.5","4","0"
"152.45","96","13.2","786","1"
"421","86","9.7","571","2"
"1832.7","54","6.7","8","0"
"500.75","56","4.7","866","2"
"708.8","45.8","7.8","717","2"
"238.04","48","7.1","777","2"
"99","99","31.1","664","3"
"1972.2","99.6","12.7","9","0"
"281.91","86","4.4","312","3"
"4605.4","30.6","32.9","567","2"
"1043.5","15.8","18.4","616","2"
"3425.9","57.9","31.2","632","3"
"2135.5","54.8","35.9","8","0"
"3225.2","33.5","14.6","7","0"
"4636.1","59.3","27.8","984","1"
"594.4","50.1","34.2","697","2"
"3518.2","18.7","36.1","686","3"
"3645.3","56.2","30.6","900","2"
"123","96","14.6","269","3"
"1226","91","6.3","899","1"
"3420.1","45.3","6.6","2","0"
"3280","39.8","17.7","866","2"
"1456.67","90","4.1","3","0"
"944.8","83.2","33.3","592","1"
"1388.8","32.3","6.4","6","0"
"2962.5","43.3","32.6","599","1"
"2590.2","83.3","4.4","746","1"
"1400.9","75.6","36.5","8","0"
"232","85","12.8","4","0"
"397.8","63.1","2.6","6","0"
"2204.38","66","0.7","515","2"
"4170.4","60.2","26.3","415","3"
"2109.3","89.3","18.8","786","1"
"74","32","2.3","721","1"
"4341.2","20.4","12.3","179","3"
"356.6","28.3","17.1","4","0"
"809.3","78.3","24.5","988","1"
"1521.57","84","2.3","9","0"
"3144.3","55.2","43.3","75","3"
"3529.8","21.4","15.5","201","3"
"2514.9","14.6","23.6","848","2"
"79","83","32","175","3"
"409.8","27.9","11.9","293","3"
"216.5","98","4","337","3"
"4008.8","25.2","44.9","204","3"
"3949.7","69.8","19.9","298","3"
"3441.4","15","15.5","7","0"
"491.8","90","9.8","3","0"
"2756.2","14.6","19.6","672","3"
"3813.5","64","11","528","1"
"2598.2","36.8","26.5","535","2"
"2183.6","36.6","16.6","9","0"
"1240.8","37","30.7","607","1"
"4409.9","64.8","27.2","440","3"
"1118.1","62.2","22.5","135","3"
"3864.3","18.1","34","959","2"
"3461.6","58.7","30.1","4","0"
"3209.5","65.7","24","801","1"
"3405.3","15.7","3.5","920","1"
"3611.2","50.9","12.5","811","2"
"997.2","45.8","22.5","100","3"
"449.6","20.1","23.6","954","1"
"1507.5","62.3","7.1","993","2"
"2517.9","60.1","15.8","27","3"
"189","83","27.6","651","1"
"3115.9","40.3","5.8","926","2"
"1132.5","60.9","10.7","563","1"
"324","83","16","655","2"
"126","99","2.4","518","2"
"138.3","22.8","2.3","670","2"
"1152.6","64.5","15.9","8","0"
"3492.7","43.2","33.4","588","1"
"968.6","32","1.2","698","2"
"220.6","93","2.4","560","2"
"2270.2","75.7","33.5","895","1"
"3945.7","85.5","45.9","340","3"
"266.6","88","1.9","9","0"
"987.3","55.2","41.3","325","3"
"139.5","46","6.2","651","2"
"298","83","26.5","375","3"
"65.9","42.8","36.7","83","3"
"243","88","13.8","3","0"
"2420.9","27.7","34.5","3","0"
"223.6","100","0.7","3","0"
"2168.7","41.7","35.1","572","2"
"1375.3","71","11.3","678","3"
"3101.9","39.8","39.4","839","2"
"53","97","11.6","743","2"
"405.8","8.3","3.3","664","1"
"833","34.8","36","761","1"
"3536.6","85.7","0.5","407","3"
"1827.8","90.2","18.2","3","0"
"1579.6","67.3","8.1","979","2"
"3190.2","16.3","32.1","239","3"
"2275.9","21.8","11.5","599","2"
"1938.5","13","35.7","7","0"
"994","99","4.6","804","1"
"108.67","87","4.8","719","1"
"46","72","15.4","413","3"
"2780.5","12.1","12.3","316","3"
"127","88","2.1","924","2"
"764.4","41.6","11","255","3"
"1453.2","30.2","19.9","2","0"
"5357.7","74.3","1.8","688","1"
"2420.9","66.8","29.3","688","2"
"397","56","5.5","534","1"
"1838.2","17.2","41.4","474","3"
"4551.7","46.6","25.5","814","1"
"3542.5","44.9","34.4","737","1"
"126.2","90","7.2","4","0"
"1143.5","36.5","13.8","1","0"
"345","72","10.3","45","3"
"1629.3","39.8","10.8","489","3"
"2216.8","71.2","22.4","631","3"
"1314.75","78","3.5","845","1"
"1353.6","49.3","7","849","1"
"2173.8","54.7","9.9","7","0"
"320.67","93","10.6","500","1"
"694.7","56.7","27.3","984","2"
"1426.9","76.1","36.4","643","1"
"382.71","27","5.7","553","1"
"280.2","26.8","3.6","903","2"
"1371.3","16.8","25.8","533","1"
"148.5","98","11.4","624","1"
"3371.3","54.8","5.3","40","3"
"3342","52.3","19.5","750","2"
