RT,Avai,Thr,Late,Place,Label
3911.9,33.0,30.8,0.0,1,0.54529
4559.7,15.3,23.9,0.0,1,0.46662
1526.9,32.9,7.0,0.0,1,0.53905
776.9,21.9,25.6,0.0,0,0.59915
2634.1,74.6,9.8,0.0,1,0.62336
4782.3,35.3,16.5,0.0,0,0.50978
1545.5,71.6,24.0,0.0,1,0.68446
3232.9,85.0,24.0,0.0,1,0.66892
622.1,58.7,18.5,0.0,3,0.67127
1870.3,39.5,37.1,0.0,1,0.62964
1784.2,26.8,38.6,0.0,3,0.61597
2190.8,45.3,9.2,0.0,2,0.55662
2637.2,49.9,3.7,0.0,1,0.55174
827.6,43.7,33.4,0.0,3,0.66831
4400.3,26.9,9.4,0.0,1,0.46165
2635.4,33.2,29.7,0.0,1,0.56948
2207.5,87.8,34.0,0.0,2,0.72785
1943.6,43.0,20.9,0.0,2,0.59763
1556.8,34.0,10.0,0.0,3,0.56125
890.8,77.6,6.1,0.0,2,0.6724
514.5,33.2,18.6,0.0,0,0.61661
1797.0,9.7,19.7,0.0,3,0.51122
851.4,64.4,23.4,0.0,0,0.69799
959.1,47.9,20.9,0.0,2,0.62749
1005.4,63.7,18.9,0.0,0,0.68116
3389.4,55.6,16.5,0.0,1,0.5737
2185.4,53.7,44.1,0.0,0,0.68971
458.0,48.8,10.0,0.0,1,0.62265
2626.3,84.0,28.7,0.0,3,0.69886
3382.4,17.8,7.4,0.0,2,0.4592
847.6,21.5,46.4,0.0,1,0.63156
2319.9,45.2,32.4,0.0,1,0.61559
757.1,51.2,30.3,0.0,0,0.68467
315.8,44.4,10.2,0.0,1,0.61453
1795.2,38.4,36.9,0.0,1,0.61949
2361.8,84.4,5.2,0.0,3,0.6498
3202.3,60.9,20.2,0.0,0,0.62248
502.5,65.8,37.0,0.0,2,0.72188
3865.7,25.5,11.3,0.0,3,0.48465
2279.7,87.0,3.2,0.0,1,0.65288
3892.3,46.1,24.5,0.0,0,0.57908
2466.4,8.8,11.6,0.0,3,0.47956
3045.9,59.9,20.0,0.0,1,0.60007
3232.8,34.7,17.4,0.0,0,0.54935
621.1,24.4,25.7,0.0,2,0.58512
4515.7,30.4,9.7,0.0,2,0.46712
4378.5,77.5,13.7,0.0,0,0.6185
4679.3,80.8,10.8,0.0,1,0.5977
2090.5,28.1,10.6,0.0,1,0.52216
1484.0,35.0,1.8,0.0,2,0.53327
1605.7,19.9,3.7,0.0,1,0.50285
4395.8,46.0,6.8,0.0,1,0.49754
870.2,36.3,26.8,0.0,3,0.61999
3257.7,8.5,37.1,0.0,0,0.53237
1865.6,43.9,23.1,0.0,2,0.5962
235.8,13.1,29.8,0.0,3,0.59445
2491.7,47.5,15.6,0.0,0,0.5954
4628.3,39.7,13.5,0.0,2,0.49695
4050.1,45.8,14.9,0.0,1,0.52869
761.3,33.1,15.8,0.0,1,0.58386
3098.6,14.0,25.5,0.0,1,0.49747
2170.4,67.0,34.5,0.0,2,0.68136
4011.8,62.2,33.6,0.0,3,0.63767
2751.7,73.8,22.0,0.0,2,0.64842
2453.0,69.9,6.1,0.0,1,0.60664
2065.7,15.1,28.6,0.0,2,0.53633
4047.1,43.6,24.4,0.0,3,0.56791
1071.7,66.6,1.4,0.0,0,0.64308
1827.4,43.2,11.5,0.0,2,0.56976
90.3,48.2,33.4,0.0,1,0.67799
3323.9,28.1,19.6,0.0,3,0.52117
617.0,45.4,16.2,0.0,2,0.62315
4059.2,49.9,17.5,0.0,3,0.55411
1860.8,55.8,17.1,0.0,0,0.63563
333.1,13.9,21.2,0.0,0,0.57935
4863.6,47.9,3.5,0.0,1,0.48795
959.1,67.8,0.6,0.0,2,0.63319
2280.8,6.1,13.8,0.0,1,0.47482
4127.8,41.1,16.6,0.0,0,0.54087
3359.7,62.4,41.4,0.0,2,0.65535
2457.4,65.0,28.2,0.0,3,0.66628
1025.5,54.0,19.8,0.0,0,0.65873
2974.1,36.9,22.1,0.0,1,0.54939
1517.9,41.5,12.1,0.0,2,0.57177
3043.7,42.2,6.0,0.0,1,0.52777
1242.0,12.6,0.3,0.0,3,0.49892
3537.9,31.6,32.9,0.0,0,0.57272
3735.2,83.7,27.5,0.0,1,0.66803
2325.8,38.3,1.5,0.0,0,0.5412
3969.4,55.4,42.7,0.0,3,0.6404
3017.6,35.1,32.6,0.0,2,0.57455
52.1,27.2,16.9,0.0,3,0.60495
3633.4,56.8,13.0,0.0,0,0.58343
3745.3,69.4,12.3,0.0,2,0.59198
4063.4,55.0,10.6,0.0,2,0.5495
2620.4,27.5,30.3,0.0,0,0.57876
998.4,16.7,18.6,0.0,2,0.54339
633.1,8.6,28.3,0.0,0,0.5763
3494.2,21.3,15.2,0.0,1,0.48488
3962.4,37.3,20.0,0.0,3,0.53273
3618.4,49.8,34.1,0.0,1,0.60335
3893.2,87.5,34.5,0.0,3,0.70544
4528.1,10.5,15.5,0.0,3,0.45091
3157.9,43.8,0.4,0.0,3,0.53052
868.9,71.6,28.2,0.0,1,0.70467
2819.5,80.2,28.8,0.0,1,0.6775
2965.3,72.4,34.8,0.0,0,0.69369
1063.7,57.2,38.8,0.0,1,0.6994
3721.4,89.7,8.6,0.0,1,0.63888
2976.4,22.9,30.3,0.0,0,0.55851
985.7,75.5,17.4,0.0,2,0.68705
3426.1,47.2,27.5,0.0,0,0.60104
3838.3,49.1,29.0,0.0,3,0.58711
2887.6,15.7,11.0,0.0,2,0.47013
3496.2,67.7,30.2,0.0,2,0.63328
4437.9,73.6,7.0,0.0,0,0.59034
1184.2,21.6,8.1,0.0,3,0.53382
4030.1,24.0,5.7,0.0,1,0.45424
1635.5,86.4,37.6,0.0,0,0.76898
3752.9,32.7,26.6,0.0,2,0.53714
665.2,58.5,32.5,0.0,3,0.70579
2224.7,93.9,26.9,0.0,2,0.72495
2332.4,56.2,31.0,0.0,1,0.64626
764.7,67.6,12.2,0.0,2,0.66445
2334.4,46.1,30.1,0.0,3,0.61623
2050.9,28.4,9.9,0.0,3,0.53645
1531.3,50.3,26.8,0.0,3,0.64181
800.1,75.3,2.4,0.0,3,0.66569
4958.0,90.6,33.8,0.0,0,0.68701
3638.5,15.8,0.3,0.0,2,0.43405
2200.7,81.9,14.7,0.0,2,0.66397
146.8,22.0,35.7,0.0,2,0.62575
617.1,6.3,4.2,0.0,2,0.49802
333.4,88.0,5.5,0.0,3,0.71274
1109.8,58.8,5.0,0.0,2,0.61495
3631.2,24.3,29.5,0.0,1,0.52823
2447.3,36.0,26.3,0.0,2,0.58196
2147.4,18.1,19.3,0.0,3,0.53918
5020.1,74.3,9.9,0.0,2,0.56688
4359.3,37.8,34.2,0.0,3,0.56968
359.5,70.8,32.6,0.0,0,0.74931
1211.2,62.2,12.8,0.0,1,0.63539
2150.3,67.7,12.3,0.0,2,0.63126
66.0,29.8,32.1,0.0,3,0.65112
4739.1,66.2,14.3,0.0,0,0.58259
3088.4,15.8,2.7,0.0,2,0.44568
1921.7,36.4,13.1,0.0,1,0.56205
391.2,58.1,25.5,0.0,2,0.67592
797.6,24.2,21.3,0.0,1,0.57863
2485.6,9.6,43.9,0.0,2,0.55205
3309.3,70.4,16.0,0.0,3,0.62628
1603.6,37.3,2.8,0.0,3,0.55813
453.2,31.6,23.8,0.0,2,0.61254
3062.4,23.4,10.8,0.0,0,0.50881
2379.2,16.2,3.0,0.0,3,0.47299
1391.3,36.0,23.6,0.0,1,0.59314
3921.9,99.1,25.5,0.0,2,0.70037
3591.9,64.6,22.3,0.0,0,0.62729
2280.8,31.7,16.3,0.0,2,0.54665
1632.0,10.2,3.5,0.0,3,0.48284
702.9,16.4,16.8,0.0,2,0.54947
4448.1,22.8,3.5,0.0,3,0.45186
3370.0,41.2,28.6,0.0,3,0.58087
212.5,66.1,26.6,0.0,0,0.72634
1406.2,71.1,25.5,0.0,1,0.68456
2354.7,63.9,22.7,0.0,2,0.63655
1372.6,81.1,3.6,0.0,2,0.6608
2033.5,61.4,46.3,0.0,3,0.70506
2638.3,60.2,44.0,0.0,3,0.68031
1666.5,70.0,27.5,0.0,2,0.68173
4715.2,75.0,21.5,0.0,2,0.60653
581.0,13.5,31.0,0.0,0,0.5966
246.1,48.0,2.2,0.0,1,0.59804
2004.1,79.3,23.1,0.0,2,0.69312
3555.1,57.7,18.5,0.0,3,0.60084
3956.4,68.4,2.1,0.0,1,0.5598
5061.9,14.4,12.9,0.0,0,0.44146
4984.0,52.9,20.4,0.0,2,0.54361
327.7,63.9,2.6,0.0,1,0.64336
1314.5,92.4,31.4,0.0,2,0.75326
2351.4,92.1,3.7,0.0,3,0.66716
2993.7,27.6,34.9,0.0,1,0.56592
4612.8,58.3,12.0,0.0,2,0.53957
3334.0,55.5,7.9,0.0,2,0.55289
2177.2,19.7,37.4,0.0,1,0.57449
1459.9,48.4,37.9,0.0,0,0.67912
1868.2,74.2,30.2,0.0,3,0.69909
1770.7,57.1,24.4,0.0,1,0.64695
4209.0,46.8,1.6,0.0,2,0.49899
3867.3,39.3,20.1,0.0,2,0.52733
2536.1,20.9,38.4,0.0,2,0.57231
3472.9,49.5,41.4,0.0,3,0.62939
5236.6,49.6,10.9,0.0,3,0.51065
3871.6,58.0,2.0,0.0,2,0.53815
94.0,54.2,27.3,0.0,2,0.67925
1932.7,61.0,19.5,0.0,0,0.65275
164.5,37.3,27.7,0.0,0,0.65824
3460.1,20.1,9.7,0.0,0,0.48786
698.2,59.7,30.1,0.0,1,0.69334
2766.9,43.8,3.3,0.0,2,0.53104
1401.4,64.5,30.0,0.0,1,0.67953
2724.8,16.6,22.3,0.0,0,0.5289
1222.6,19.9,36.1,0.0,2,0.59683
2351.8,21.9,23.8,0.0,0,0.55522
45.4,85.4,22.1,0.0,0,0.76741
4281.0,87.2,10.7,0.0,1,0.61549
1921.2,5.8,12.2,0.0,3,0.49461
1620.5,47.1,28.2,0.0,0,0.64768
3080.3,64.2,18.1,0.0,2,0.61486
254.6,19.7,29.2,0.0,1,0.59228
1167.8,52.0,18.2,0.0,1,0.6233
1174.8,22.5,5.7,0.0,0,0.54098
1310.3,38.8,27.8,0.0,1,0.61259
2438.1,55.4,3.7,0.0,1,0.56861
2076.4,13.8,11.2,0.0,0,0.51038
326.1,77.1,35.6,0.0,0,0.77345
1955.3,67.4,25.3,0.0,1,0.66314
2881.6,8.2,13.6,0.0,2,0.46363
3872.1,34.1,9.7,0.0,1,0.48874
3199.8,15.4,11.5,0.0,1,0.47145
1128.1,6.6,23.3,0.0,0,0.54639
956.5,79.7,2.7,0.0,1,0.66508
1971.3,12.7,34.7,0.0,2,0.55631
2001.3,28.8,46.0,0.0,2,0.62431
2354.3,52.8,36.9,0.0,3,0.64796
2240.4,33.0,32.8,0.0,0,0.60826
233.8,37.4,30.6,0.0,2,0.64048
2741.5,21.8,27.5,0.0,3,0.53828
2000.4,12.0,29.7,0.0,3,0.54503
4215.8,20.7,16.2,0.0,0,0.48682
3174.9,42.4,16.7,0.0,2,0.54539
4495.2,48.3,29.6,0.0,2,0.56406
1300.1,53.9,23.1,0.0,1,0.63562
1818.2,16.2,1.2,0.0,3,0.48181
2685.8,15.3,17.4,0.0,1,0.49195
3440.9,24.3,32.1,0.0,2,0.53157
2660.0,23.5,14.0,0.0,0,0.52702
3194.7,45.7,10.8,0.0,1,0.5443
1025.4,68.8,34.6,0.0,0,0.73284
4822.9,13.4,14.5,0.0,3,0.43349
1337.1,59.0,6.1,0.0,1,0.61152
4204.5,48.4,5.6,0.0,2,0.50635
1081.1,54.0,23.5,0.0,2,0.64809
662.2,15.5,28.8,0.0,1,0.58017
3530.1,36.3,35.5,0.0,1,0.56711
212.8,50.9,30.2,0.0,2,0.68203
3809.3,33.1,6.9,0.0,3,0.49216
2302.0,74.1,42.8,0.0,2,0.71047
3241.7,46.3,28.9,0.0,1,0.58207
1823.5,20.3,21.6,0.0,0,0.55903
1475.1,5.9,17.9,0.0,1,0.50434
548.9,32.9,28.6,0.0,2,0.62395
2099.2,39.7,4.8,0.0,0,0.55861
2125.7,84.9,38.5,0.0,0,0.75523
3345.8,34.1,3.4,0.0,3,0.50155
4067.3,56.6,17.9,0.0,1,0.55988
4984.4,50.1,41.7,0.0,3,0.59488
801.6,82.3,19.0,0.0,0,0.73303
4057.3,64.5,1.5,0.0,0,0.56343
2779.6,73.7,27.3,0.0,3,0.68225
3424.0,7.5,1.6,0.0,2,0.42277
2444.5,38.5,41.0,0.0,0,0.63751
3718.3,45.2,29.3,0.0,2,0.57961
2862.7,65.2,27.9,0.0,2,0.64377
2568.3,29.3,31.1,0.0,2,0.56938
4527.1,19.5,27.8,0.0,3,0.49396
1447.8,79.3,7.1,0.0,2,0.65527
2182.5,32.0,9.6,0.0,2,0.53631
3585.8,73.6,19.3,0.0,3,0.63757
275.3,19.0,28.4,0.0,1,0.59169
2907.8,57.9,28.8,0.0,2,0.621
2502.7,33.0,13.9,0.0,0,0.55445
2595.5,67.4,28.5,0.0,2,0.65645
2032.4,26.9,30.7,0.0,3,0.57593
2191.5,72.6,16.9,0.0,2,0.64976
2634.4,73.1,27.2,0.0,3,0.67243
1440.1,21.1,9.5,0.0,3,0.53702
3504.9,41.2,19.6,0.0,1,0.54869
1599.9,72.7,24.5,0.0,3,0.701
2569.9,12.3,22.7,0.0,0,0.52302
1099.4,5.7,20.2,0.0,1,0.51273
2225.7,12.6,14.6,0.0,0,0.51228
3369.9,61.9,6.0,0.0,3,0.58182
1627.0,9.4,26.7,0.0,2,0.53667
4770.0,57.9,3.0,0.0,3,0.52134
3141.8,16.5,26.9,0.0,1,0.50965
3797.8,15.2,20.5,0.0,2,0.47157
3677.9,60.9,6.7,0.0,1,0.55564
3773.6,72.1,14.3,0.0,2,0.6001
808.5,11.5,7.0,0.0,3,0.52046
1908.1,24.1,15.5,0.0,0,0.55124
2207.7,57.5,38.7,0.0,1,0.665
1430.5,12.0,38.6,0.0,2,0.57346
2232.3,19.1,19.2,0.0,2,0.51686
1222.0,71.0,38.7,0.0,1,0.71952
2174.0,49.8,7.5,0.0,2,0.57304
4032.2,7.9,6.2,0.0,2,0.41013
2688.6,74.3,37.4,0.0,0,0.71185
3670.1,29.0,2.8,0.0,1,0.47324
3866.1,20.6,2.5,0.0,2,0.44814
701.0,76.1,33.6,0.0,0,0.75662
4259.9,14.0,12.2,0.0,2,0.44479
1524.3,13.7,33.8,0.0,0,0.58041
2151.5,80.5,7.8,0.0,3,0.66456
774.9,48.0,0.8,0.0,1,0.58995
659.5,77.9,25.6,0.0,1,0.72373
2176.4,74.4,44.2,0.0,0,0.74186
1231.9,69.9,0.5,0.0,3,0.63235
3599.2,21.2,24.5,0.0,2,0.51001
725.2,50.0,27.0,0.0,2,0.65037
396.0,58.2,13.9,0.0,2,0.65707
42.6,17.8,3.9,0.0,2,0.53123
195.6,54.6,10.7,0.0,0,0.65813
839.8,38.4,34.8,0.0,2,0.64088
1441.4,75.2,22.7,0.0,1,0.68738
1605.5,45.3,14.5,0.0,1,0.59358
3024.1,53.3,5.7,0.0,0,0.57174
2997.0,70.9,24.4,0.0,1,0.64439
897.7,85.8,12.0,0.0,1,0.6997
4087.0,48.6,9.2,0.0,0,0.54229
3582.9,72.5,12.8,0.0,1,0.60437
833.5,92.4,5.0,0.0,2,0.69893
2530.0,25.8,31.2,0.0,2,0.56409
2652.8,96.7,24.1,0.0,2,0.71162
4001.1,64.3,9.2,0.0,0,0.58349
4915.0,12.1,26.0,0.0,2,0.45361
171.7,37.8,27.3,0.0,1,0.64441
2889.9,61.7,27.9,0.0,1,0.63574
3297.6,70.5,6.3,0.0,3,0.6084
2640.7,32.8,5.0,0.0,1,0.50942
566.3,21.9,8.1,0.0,1,0.54304
1236.6,61.2,2.7,0.0,0,0.62863
3137.4,18.1,36.2,0.0,1,0.53445
2258.9,54.6,5.0,0.0,3,0.5896
2004.2,72.3,17.8,0.0,3,0.66089
4092.4,15.3,7.3,0.0,3,0.44793
3363.7,55.1,9.5,0.0,2,0.56287
628.5,16.3,21.9,0.0,0,0.57966
654.7,8.6,35.8,0.0,3,0.58891
1527.9,46.2,27.4,0.0,0,0.64565
5081.1,46.6,23.8,0.0,2,0.53421
2746.5,52.2,36.0,0.0,0,0.65181
1065.0,39.5,1.9,0.0,2,0.55252
308.6,47.7,3.1,0.0,2,0.60526
1870.6,8.3,5.3,0.0,1,0.4723
2263.4,16.6,7.2,0.0,0,0.50283
2195.2,59.9,2.7,0.0,2,0.57761
1102.2,53.2,0.6,0.0,3,0.59789
1721.8,39.1,9.5,0.0,3,0.56585
1377.5,73.0,6.9,0.0,2,0.64383
1867.7,72.1,16.7,0.0,0,0.67518
1036.7,59.1,25.8,0.0,0,0.6862
3543.8,15.6,21.7,0.0,2,0.48534
1729.1,12.0,9.6,0.0,2,0.49757
3163.2,23.9,30.7,0.0,3,0.54771
2428.8,19.2,25.7,0.0,2,0.53895
1877.7,30.4,30.8,0.0,3,0.6
3192.9,15.0,31.0,0.0,3,0.52689
3491.9,53.7,16.5,0.0,0,0.58797
2819.4,37.9,4.2,0.0,2,0.51288
2475.4,8.3,0.1,0.0,3,0.45826
3061.3,24.0,26.3,0.0,1,0.53308
2758.2,12.9,0.1,0.0,0,0.46331
2874.1,40.4,37.4,0.0,1,0.59916
3241.2,68.2,19.8,0.0,3,0.63439
175.1,70.0,30.6,0.0,1,0.7291
2387.1,39.8,11.7,0.0,2,0.54846
1636.3,31.7,23.2,0.0,2,0.57909
4984.9,66.8,6.0,0.0,2,0.54439
1001.3,77.9,26.5,0.0,2,0.72156
5390.6,36.0,25.2,0.0,0,0.51812
2257.6,98.2,23.4,0.0,3,0.7355
1736.8,40.2,5.2,0.0,3,0.55265
2901.4,36.8,1.4,0.0,3,0.51786
1162.4,81.4,20.0,0.0,1,0.70939
1181.6,20.1,23.3,0.0,2,0.56413
177.7,43.0,1.3,0.0,2,0.58225
1323.7,36.7,19.1,0.0,1,0.58488
1533.2,38.6,21.6,0.0,2,0.58884
846.2,53.9,35.8,0.0,3,0.69837
4317.2,66.6,26.8,0.0,1,0.60698
3709.1,64.5,6.2,0.0,2,0.56849
1586.5,85.5,27.2,0.0,2,0.71963
4843.4,31.0,28.1,0.0,3,0.5239
163.7,40.2,7.5,0.0,0,0.61508
1308.5,62.6,12.8,0.0,2,0.63221
4786.6,34.7,4.8,0.0,0,0.47897
1396.5,61.0,0.2,0.0,0,0.61806
1599.4,27.5,19.9,0.0,3,0.56163
2211.9,14.0,29.0,0.0,1,0.53537
397.8,61.2,39.1,0.0,2,0.71893
2254.0,95.1,35.8,0.0,3,0.76184
3423.9,54.7,3.5,0.0,3,0.55227
2470.4,12.1,25.0,0.0,2,0.51053
321.2,29.3,28.3,0.0,1,0.62052
2369.4,36.1,2.1,0.0,0,0.53603
817.1,46.3,9.6,0.0,2,0.60032
3051.1,66.4,1.5,0.0,0,0.59329
2619.8,75.2,24.1,0.0,0,0.68262
1576.1,87.8,37.3,0.0,2,0.75627
681.9,77.6,12.8,0.0,1,0.69197
3982.2,67.6,16.0,0.0,3,0.59241
1688.5,9.7,30.8,0.0,3,0.54368
2038.0,36.3,26.0,0.0,0,0.60469
2705.3,8.7,19.6,0.0,2,0.48106
104.2,67.3,33.7,0.0,3,0.73749
1252.7,49.7,15.4,0.0,1,0.60865
3437.0,25.2,0.3,0.0,2,0.45341
1357.8,28.3,22.5,0.0,0,0.59303
1282.2,42.2,25.1,0.0,0,0.63599
1503.2,52.4,1.1,0.0,1,0.58221
2153.1,59.3,11.2,0.0,1,0.60487
218.4,51.4,32.8,0.0,0,0.70486
2196.4,27.8,23.0,0.0,1,0.54726
1729.5,38.2,4.4,0.0,1,0.53976
992.2,23.9,32.9,0.0,2,0.59362
1558.8,45.1,40.1,0.0,2,0.65267
2934.2,65.8,15.1,0.0,3,0.62181
933.8,17.9,1.7,0.0,0,0.5256
2958.2,35.6,17.0,0.0,3,0.54201
838.3,50.0,21.4,0.0,3,0.64256
3027.2,15.7,18.3,0.0,3,0.49731
3246.7,54.8,5.3,0.0,2,0.55642
441.7,43.8,28.3,0.0,3,0.66228
1907.7,76.8,38.1,0.0,3,0.72865
1709.6,59.8,20.1,0.0,0,0.65688
3249.0,43.2,32.7,0.0,3,0.59279
1926.7,56.4,21.5,0.0,1,0.63055
850.9,59.3,8.6,0.0,2,0.62377
2576.7,24.8,6.0,0.0,0,0.51243
2588.7,67.0,5.8,0.0,2,0.5947
1738.8,18.2,33.6,0.0,1,0.57087
1252.9,10.0,22.9,0.0,1,0.53445
1968.9,63.1,34.5,0.0,1,0.68142
2116.7,13.5,31.7,0.0,1,0.53903
2190.8,86.6,32.7,0.0,0,0.7434
935.7,77.9,25.4,0.0,2,0.7114
2814.4,44.1,39.4,0.0,3,0.62303
1151.9,57.9,25.2,0.0,2,0.6543
819.8,5.4,20.3,0.0,3,0.53735
2368.2,75.0,16.6,0.0,0,0.66974
1817.1,9.7,12.1,0.0,2,0.49562
1852.0,45.2,8.4,0.0,1,0.56924
1146.6,47.9,19.4,0.0,0,0.63946
3527.6,81.1,2.4,0.0,3,0.61858
4387.8,37.5,18.6,0.0,3,0.53009
548.2,64.1,6.1,0.0,3,0.65369
1299.4,33.7,7.7,0.0,3,0.55411
2971.2,60.0,4.6,0.0,1,0.57349
3884.1,16.4,38.9,0.0,3,0.53751
4002.8,32.4,23.6,0.0,2,0.52264
2843.5,25.5,16.8,0.0,1,0.51553
951.8,72.3,6.4,0.0,1,0.65465
4455.4,80.1,9.0,0.0,2,0.59785
189.2,47.0,2.6,0.0,3,0.60342
4762.4,55.0,3.7,0.0,2,0.50885
644.7,68.9,6.5,0.0,3,0.66818
3027.3,26.1,6.7,0.0,3,0.49681
937.6,54.9,28.4,0.0,2,0.66608
340.5,58.6,17.6,0.0,1,0.66696
